系统始发港,系统目的港,箱型,百分比,系统船公司,ALL IN 海运价,有效期开始时间,截止时间时间, 预算费用,
大连,阿拉木图,40HC,100%,中创物流股份有限公司,2840,2020/1/1,2020/1/31,2840,
大连,阿拉木图,40HC,100%,中创物流股份有限公司,2840,2020/2/1,2020/3/31,2840,
大连,阿拉木图,40HC,100%,中创物流股份有限公司,3230,2020/4/1,2020/6/30,3230,
大连,阿帕帕,20GP,20%,CMA,1440.74,2020/1/1,2020/2/29,288.148,
大连,阿帕帕,40GP,20%,CMA,2031.48,2020/1/1,2020/2/29,406.296,
大连,阿帕帕,40HC,20%,CMA,2031.48,2020/1/1,2020/2/29,406.296,
大连,阿帕帕,45HC,20%,CMA,2098.48,2020/1/1,2020/2/29,419.696,
大连,阿帕帕,20GP,60%,CMA,2023,2020/3/1,2020/6/30,1213.8,
大连,阿帕帕,40GP,60%,CMA,2330,2020/3/1,2020/6/30,1398,
大连,阿帕帕,40HC,60%,CMA,2330,2020/3/1,2020/6/30,1398,
大连,阿帕帕,45HC,60%,CMA,2376,2020/3/1,2020/6/30,1425.6,
大连,阿帕帕,20GP,60%,CMA,1733,2020/7/1,2020/9/30,1039.8,
大连,阿帕帕,40GP,60%,CMA,1750,2020/7/1,2020/9/30,1050,
大连,阿帕帕,40HC,60%,CMA,1750,2020/7/1,2020/9/30,1050,
大连,阿帕帕,45HC,60%,CMA,1796,2020/7/1,2020/9/30,1077.6,
大连,阿帕帕,20GP,80%,MAERSK,1641,2020/1/1,2020/2/29,1312.8,
大连,阿帕帕,40GP,80%,MAERSK,2022,2020/1/1,2020/2/29,1617.6,
大连,阿帕帕,40HC,80%,MAERSK,2022,2020/1/1,2020/2/29,1617.6,
大连,阿帕帕,45HC,80%,MAERSK,2022,2020/1/1,2020/2/29,1617.6,
大连,阿帕帕,20GP,40%,MAERSK,1580,2020/3/1,2020/6/30,632,
大连,阿帕帕,40GP,40%,MAERSK,2412,2020/3/1,2020/6/30,964.8,
大连,阿帕帕,40HC,40%,MAERSK,2412,2020/3/1,2020/6/30,964.8,
大连,阿帕帕,45HC,40%,MAERSK,2511,2020/3/1,2020/6/30,1004.4,
大连,阿帕帕,20GP,40%,MAERSK,1265,2020/7/1,2020/9/30,506,
大连,阿帕帕,40GP,40%,MAERSK,1780,2020/7/1,2020/9/30,712,
大连,阿帕帕,40HC,40%,MAERSK,1780,2020/7/1,2020/9/30,712,
大连,阿帕帕,45HC,40%,MAERSK,1879,2020/7/1,2020/9/30,751.6,
大连,安特卫普,20GP,40%,COSCO,650,2020/1/1,2020/3/31,260,
大连,安特卫普,40HC,40%,COSCO,1300,2020/1/1,2020/3/31,520,
大连,安特卫普,20GP,40%,COSCO,650,2020/4/1,2020/6/30,260,
大连,安特卫普,40GP,40%,COSCO,1300,2020/4/1,2020/6/30,520,
大连,安特卫普,40HC,40%,COSCO,1300,2020/4/1,2020/6/30,520,
大连,安特卫普,20GP,40%,COSCO,707,2020/7/1,2020/9/30,282.8,707
大连,安特卫普,40GP,40%,COSCO,1414,2020/7/1,2020/9/30,565.6,1414
大连,安特卫普,40HC,40%,COSCO,1414,2020/7/1,2020/9/30,565.6,1414
大连,安特卫普,20GP,20%,EVERGREEN,600,2020/1/1,2020/3/31,120,
大连,安特卫普,40HC,20%,EVERGREEN,1200,2020/1/1,2020/3/31,240,
大连,安特卫普,20GP,20%,EVERGREEN,600,2020/4/1,2020/6/30,120,
大连,安特卫普,40GP,20%,EVERGREEN,1200,2020/4/1,2020/6/30,240,
大连,安特卫普,40HC,20%,EVERGREEN,1200,2020/4/1,2020/6/30,240,
大连,安特卫普,20GP,20%,EVERGREEN,600,2020/7/1,2020/9/30,120,
大连,安特卫普,40GP,20%,EVERGREEN,1200,2020/7/1,2020/9/30,240,
大连,安特卫普,40HC,20%,EVERGREEN,1200,2020/7/1,2020/9/30,240,
大连,安特卫普,20GP,20%,HAPAG-LLOYD,662.5,2020/1/1,2020/3/31,132.5,
大连,安特卫普,40HC,20%,HAPAG-LLOYD,1325,2020/1/1,2020/3/31,265,
大连,安特卫普,20GP,20%,HAPAG-LLOYD,662.5,2020/4/1,2020/6/30,132.5,
大连,安特卫普,40GP,20%,HAPAG-LLOYD,1325,2020/4/1,2020/6/30,265,
大连,安特卫普,40HC,20%,HAPAG-LLOYD,1325,2020/4/1,2020/6/30,265,
大连,安特卫普,20GP,20%,HAPAG-LLOYD,542.5,2020/7/1,2020/9/30,108.5,
大连,安特卫普,40GP,20%,HAPAG-LLOYD,1085,2020/7/1,2020/9/30,217,
大连,安特卫普,40HC,20%,HAPAG-LLOYD,1085,2020/7/1,2020/9/30,217,
大连,安特卫普,20GP,20%,MSC,712.5,2020/1/1,2020/3/31,142.5,
大连,安特卫普,40HC,20%,MSC,1425,2020/1/1,2020/3/31,285,
大连,安特卫普,20GP,20%,MSC,749.5,2020/4/1,2020/6/30,149.9,
大连,安特卫普,40GP,20%,MSC,1499,2020/4/1,2020/6/30,299.8,
大连,安特卫普,40HC,20%,MSC,1499,2020/4/1,2020/6/30,299.8,
大连,安特卫普,20GP,20%,MSC,551.5,2020/7/1,2020/9/30,110.3,
大连,安特卫普,40GP,20%,MSC,1103,2020/7/1,2020/9/30,220.6,
大连,安特卫普,40HC,20%,MSC,1103,2020/7/1,2020/9/30,220.6,
大连,敖德萨,20GP,50%,CMA,762.5,2020/1/1,2020/3/31,381.25,
大连,敖德萨,40GP,50%,CMA,1525,2020/1/1,2020/3/31,762.5,
大连,敖德萨,40HC,50%,CMA,1525,2020/1/1,2020/3/31,762.5,
大连,敖德萨,20GP,50%,CMA,777.5,2020/4/1,2020/6/30,388.75,
大连,敖德萨,40GP,50%,CMA,1555,2020/4/1,2020/6/30,777.5,
大连,敖德萨,40HC,50%,CMA,1555,2020/4/1,2020/6/30,777.5,
大连,敖德萨,20GP,50%,CMA,597.5,2020/7/1,2020/9/30,298.75,
大连,敖德萨,40GP,50%,CMA,1195,2020/7/1,2020/9/30,597.5,
大连,敖德萨,40HC,50%,CMA,1195,2020/7/1,2020/9/30,597.5,
大连,敖德萨,20GP,50%,MSC,797.5,2020/1/1,2020/3/31,398.75,
大连,敖德萨,40GP,50%,MSC,1595,2020/1/1,2020/3/31,797.5,
大连,敖德萨,40HC,50%,MSC,1595,2020/1/1,2020/3/31,797.5,
大连,敖德萨,20GP,50%,MSC,834.5,2020/4/1,2020/6/30,417.25,
大连,敖德萨,40GP,50%,MSC,1669,2020/4/1,2020/6/30,834.5,
大连,敖德萨,40HC,50%,MSC,1669,2020/4/1,2020/6/30,834.5,
大连,敖德萨,20GP,50%,MSC,636.5,2020/7/1,2020/9/30,318.25,
大连,敖德萨,40GP,50%,MSC,1273,2020/7/1,2020/9/30,636.5,
大连,敖德萨,40HC,50%,MSC,1273,2020/7/1,2020/9/30,636.5,
大连,奥尔胡斯,20GP,70%,COSCO,725,2020/1/1,2020/3/31,507.5,
大连,奥尔胡斯,40GP,70%,COSCO,1450,2020/1/1,2020/3/31,1015,
大连,奥尔胡斯,40HC,70%,COSCO,1450,2020/1/1,2020/3/31,1015,
大连,奥尔胡斯,20GP,70%,COSCO,725,2020/4/1,2020/6/30,507.5,
大连,奥尔胡斯,40GP,70%,COSCO,1450,2020/4/1,2020/6/30,1015,
大连,奥尔胡斯,40HC,70%,COSCO,1450,2020/4/1,2020/6/30,1015,
大连,奥尔胡斯,20GP,70%,COSCO,782,2020/7/1,2020/9/30,547.4,782
