数据库表（TH开头为泰国数据表）     
------------------------------ ------------------------------------------------------------ 
AA_LIN_TEMP                    			林晓东数据调整临时表---暂时不要删除---                                       
AA_WANG_TEMP                   			数据调整临时表                                                      
AA_WANG_TEMP2                  			数据调整临时表2                                                     
ACT_AGENCY_BILL                			代理清单信息表                                                      
ACT_AGENCY_BILL_DL             		大连代理清单信息表                                                    
ACT_AGENTCY_BILL               			备件代理结算清单                                                     
ACT_BACK_CONTAINER            	 	回箱单主表                                                        
ACT_BACK_CONTAINER_ITEM        		回箱单明细表                                                       
ACT_BILL_ORDER                 			提单信息表                                                        
ACT_BOOK_ORDER                 			订舱信息                                                         
ACT_BOOK_ORDER_CNT             		订舱箱量                                                         
ACT_BOOK_ORDER_ITEM            		订舱明细表                                                        
ACT_CASH_ORDER                 			收汇活动表                                                        
ACT_CHECK_EXPORT_DOC           		商检出口备案，数据按产品大类分片－－备注字段不能用“comment”,2013.06.04修改成了REMARK      
ACT_CHECK_EXPORT_PLAN          		出运计划                                                         
ACT_CHECK_ORDER                		订单商检表ACT_CHECK_ORDER                                         
ACT_CIF_PORT_ACTUAL            		CIF港杂费实际明细表                                                  
ACT_CIF_PORT_BUDGET            		CIF港杂费预算明细表                                                  
ACT_CNT                        				装箱活动表                                                        
ACT_CNT_DEL                    			装箱活动表                                                        
ACT_CNT_ITEM                   			装箱明细表                                                        
ACT_CNT_ITEM_RETURN            		装箱明细Return表                                                  
ACT_CNT_RETURN                 			装箱活动return表                                                  
ACT_CONF_PAY_ORDER             		付款保障表                                                        
ACT_CONF_PAY_ORDER_ITEM        		付款保障明细，从付款保障的行项目中，扩展出来N次付款的表。
								并且本身也允许多行，用来支持同一次付款中，多种付款方式组合   
ACT_CONF_RELEASE               		付款保障释放闸口申请表                                                  
ACT_CUSTINVOICE_MAIN           		报关发票主表                                                       
ACT_CUST_INVOICE               			报关发票表                                                        
ACT_CUST_ORDER                 			报关活动表                                                        
ACT_DECLARATION_CONTAINER      	报关单导出集装箱表                                                    
ACT_DECLARATION_HEAD           		报关单导出结构主表                                                    
ACT_DECLARATION_MATERIAL       	报关单导出物料明细表                                                   
ACT_DECLARATION_ORDER          		报关单订单对照表                                                     
ACT_DETECTION_ORDER            		首样质检表                                                        
ACT_DOC_CUST_INVOICE_DETAIL    	报关发票表                                                        
ACT_DOC_CUST_INVOICE_MAIN      	单证报关发票主表                                                     
ACT_DOC_PACKING_DETAIL        		箱单表                                                          
ACT_EVALUATE                   			评价表                                                          
ACT_FIRST_SALE_INVOICE_DETAIL  	GE首销发票明细表                                                    
ACT_FIRST_SALE_INVOICE_MAIN    	GE首销发票主表                                                     
ACT_FOB_DEBIT_CONFIRM_LOG      	FOB港杂费确认日志                                                   
ACT_FOB_DEBIT_NOTE             		FOB账单主表                                                      
ACT_FOB_DEBIT_NOTE_ITEM1       		账单明细表                                                        
ACT_FOB_DEBIT_NOTE_ORDER       	FOB账单对应订单关系表                                                 
ACT_FOB_DEBIT_SPLIT            		FOB账单拆分预算   
ACT_FOB_PORT_IMPORT           		FOB港杂费用户导入表                                       
ACT_FOB_PORT_ACTUAL            		FOB港杂费实际明细表                                                  
ACT_FOB_PORT_BUDGET            		FOB港杂费预算明细表                                                  
ACT_FRONT_INVOICE_DETAIL      		前置发票明细表                                                      
ACT_FRONT_INVOICE_MAIN         		前置发票/箱单主表                                                    
ACT_FRONT_PACKING_DETAIL       		前置箱单明细表                                                      
ACT_GEA_DOCUMENT_DETAIL        	GEA项目单证明细表                                                   
